帖,名,開始ページ,終了ページ
1,桐壺,3,40
2,帚木,41,104
3,空蝉,105,124
4,夕顔,125,190
5,若紫,191,260
6,末摘花,261,308
7,紅葉賀,309,347
8,花宴,348,369
9,葵,370,437
10,賢木,438,514
11,花散里,516,527
12,須磨,528,594
13,明石,595,655
14,澪標,656,707
15,蓬生,708,744
16,関屋,745,756
17,絵合,757,786
18,松風,787,820
19,薄雲,821,867
20,朝顔（槿）,868,901
21,少女,902,977
22,玉鬘,978,1037
23,初音,1039,1063
24,胡蝶,1064,1096
25,蛍,1097,1129
26,常夏,1130,1164
27,篝火,1165,1177
28,野分,1178,1208
29,行幸,1209,1252
30,藤袴,1253,1278
31,真木柱,1279,1333
32,梅枝,1334,1366
33,藤裏葉,1367,1403
34,若菜 上,1404,1537
35,若菜 下,1539,1667
36,柏木,1668,1724
37,横笛,1725,1754
38,鈴虫,1755,1780
39,夕霧,1781,1873
40,御法,1874,1906
41,幻,1907,1942
42,匂宮,1943,1967
43,紅梅,1968,1991
44,竹河,1992,2050
45,橋姫,2052,2107
46,椎本,2108,2164
47,総角,2165,2288
48,早蕨,2289,2319
49,宿木,2320,2447
50,東屋,2448,2541
51,浮舟,2542,2639
52,蜻蛉,2640,2720
53,手習,2721,2818
54,夢浮橋,2819,2848
